ts_kst,vehId,plateNo,predict_sec,remain_seat,state_cd,flag
2026-09-17T13:13:18+09:00,0,,0,0,0,PASS
2026-09-17T13:14:20+09:00,0,,0,0,0,PASS
2026-09-17T13:15:22+09:00,0,,0,0,0,PASS
2026-09-17T13:16:24+09:00,0,,0,0,0,PASS
2026-09-17T13:40:29+09:00,204001377,경기70아7045,545,44,,PASS
2026-09-17T13:41:31+09:00,204001377,경기70아7045,571,44,,PASS
2026-09-17T13:42:33+09:00,204001377,경기70아7045,571,44,,PASS
2026-09-17T13:43:35+09:00,204001377,경기70아7045,571,44,,PASS
2026-09-17T21:32:44+09:00,204003592,경기70아6518,400,44,,PASS
2026-09-17T21:33:46+09:00,204003592,경기70아6518,400,44,,PASS
2026-09-17T21:34:48+09:00,204001379,경기70아7047,92,43,,PASS
2026-09-17T21:35:50+09:00,204001379,경기70아7047,150,43,,PASS
2026-09-18T12:17:05+09:00,,,,,,PASS
2026-09-18T12:18:07+09:00,,,,,,PASS
2026-09-18T12:19:08+09:00,,,,,,PASS
2026-09-18T12:20:10+09:00,,,,,,PASS
2026-09-18T17:25:05+09:00,,,,,,PASS
2026-09-18T17:26:07+09:00,,,,,,PASS
2026-09-18T17:27:09+09:00,,,,,,PASS
2026-09-18T17:28:11+09:00,,,,,,PASS
2026-09-21T01:13:43+09:00,,,,,,PASS
2026-09-21T01:14:53+09:00,,,,,,PASS
2026-09-21T01:15:55+09:00,,,,,,PASS
2026-09-21T01:16:57+09:00,,,,,,PASS
2026-09-21T01:39:51+09:00,,,,,,PASS
2026-09-21T01:40:52+09:00,,,,,,PASS
2026-09-21T01:41:53+09:00,,,,,,PASS
2026-09-21T01:42:55+09:00,,,,,,PASS
2026-09-21T08:51:22+09:00,,,,,,PASS
2026-09-21T08:52:23+09:00,,,,,,PASS
2026-09-21T08:53:25+09:00,,,,,,PASS
2026-09-21T08:54:26+09:00,,,,,,PASS
2026-09-21T12:25:17+09:00,,,,,,PASS
2026-09-21T12:26:18+09:00,,,,,,PASS
2026-09-21T12:27:20+09:00,,,,,,PASS
2026-09-21T12:28:22+09:00,,,,,,PASS
2026-09-21T22:52:31+09:00,,,,,,PASS
2026-09-21T22:53:33+09:00,,,,,,PASS
2026-09-21T22:54:34+09:00,,,,,,PASS
2026-09-21T22:55:35+09:00,,,,,,PASS
2026-09-22T03:25:11+09:00,,,,,,PASS
2026-09-22T03:26:21+09:00,,,,,,PASS
2026-09-22T03:27:22+09:00,,,,,,PASS
2026-09-22T03:28:34+09:00,,,,,,PASS
2026-09-22T19:59:32+09:00,,,,,,PASS
2026-09-22T20:00:33+09:00,,,,,,PASS
2026-09-22T20:01:34+09:00,,,,,,PASS
2026-09-22T20:02:35+09:00,,,,,,PASS
2026-09-22T21:31:34+09:00,204001377,경기70아7045,551,44,,PASS
2026-09-22T21:32:35+09:00,204001377,경기70아7045,551,44,,PASS
2026-09-22T21:33:37+09:00,204001377,경기70아7045,553,44,,PASS
2026-09-22T21:34:38+09:00,204001377,경기70아7045,553,44,,PASS
2026-09-23T02:19:23+09:00,,,,,,PASS
2026-09-23T02:20:24+09:00,,,,,,PASS
2026-09-23T02:21:26+09:00,,,,,,PASS
2026-09-23T02:22:27+09:00,,,,,,PASS
2026-09-23T02:28:42+09:00,,,,,,PASS
2026-09-23T02:29:43+09:00,,,,,,PASS
2026-09-23T02:30:49+09:00,,,,,,PASS
2026-09-23T02:31:51+09:00,,,,,,PASS
2026-09-23T13:35:16+09:00,204001377,경기70아7045,674,44,,PASS
2026-09-23T13:36:18+09:00,204001377,경기70아7045,625,44,,PASS
2026-09-23T13:37:20+09:00,204001377,경기70아7045,559,44,,PASS
2026-09-23T13:38:21+09:00,204001377,경기70아7045,539,44,,PASS
2026-09-23T18:44:45+09:00,,,,,,PASS
2026-09-23T18:45:46+09:00,,,,,,PASS
2026-09-23T18:46:48+09:00,,,,,,PASS
2026-09-23T18:47:50+09:00,,,,,,PASS
2026-09-24T02:29:38+09:00,,,,,,PASS
2026-09-24T02:30:40+09:00,,,,,,PASS
2026-09-24T02:31:42+09:00,,,,,,PASS
2026-09-24T02:32:44+09:00,,,,,,PASS
2026-09-24T02:38:13+09:00,,,,,,PASS
2026-09-24T02:39:15+09:00,,,,,,PASS
2026-09-24T02:40:33+09:00,,,,,,PASS
2026-09-24T02:41:34+09:00,,,,,,PASS
